Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
25-08-1963,DWS,AVC Heracles,2,1,Gewonnen
25-08-1963,ADO,RKSV Volendam,3,1,Gewonnen
25-08-1963,Sparta,DOS,1,3,Verloren
25-08-1963,Go Ahead,MVV,1,3,Verloren
25-08-1963,SC Enschede,Blauw-Wit,1,0,Gewonnen
25-08-1963,GVAV,Feijenoord,3,0,Gewonnen
25-08-1963,NAC,PSV,0,1,Verloren
25-08-1963,Fortuna '54,Ajax,2,1,Gewonnen
01-09-1963,DOS,GVAV,2,1,Gewonnen
01-09-1963,Feijenoord,DWS,0,1,Verloren
01-09-1963,Ajax,ADO,3,0,Gewonnen
01-09-1963,Blauw-Wit,Sparta,3,2,Gewonnen
01-09-1963,MVV,SC Enschede,3,0,Gewonnen
01-09-1963,PSV,Go Ahead,5,0,Gewonnen
01-09-1963,RKSV Volendam,NAC,2,3,Verloren
01-09-1963,AVC Heracles,Fortuna '54,1,3,Verloren
08-09-1963,DWS,Ajax,0,3,Verloren
08-09-1963,Go Ahead,Blauw-Wit,3,4,Verloren
08-09-1963,ADO,PSV,1,1,Gelijk
08-09-1963,Feijenoord,DOS,4,2,Gewonnen
08-09-1963,NAC,MVV,2,3,Verloren
08-09-1963,Fortuna '54,RKSV Volendam,2,0,Gewonnen
08-09-1963,SC Enschede,Sparta,2,0,Gewonnen
08-09-1963,GVAV,AVC Heracles,2,0,Gewonnen
15-09-1963,Sparta,Go Ahead,0,3,Verloren
15-09-1963,DOS,SC Enschede,1,1,Gelijk
15-09-1963,Ajax,GVAV,4,2,Gewonnen
15-09-1963,Blauw-Wit,NAC,0,2,Verloren
15-09-1963,RKSV Volendam,DWS,1,3,Verloren
15-09-1963,AVC Heracles,Feijenoord,3,0,Gewonnen
15-09-1963,PSV,Fortuna '54,3,2,Gewonnen
15-09-1963,MVV,ADO,1,2,Verloren
22-09-1963,Feijenoord,Ajax,1,1,Gelijk
22-09-1963,ADO,Blauw-Wit,3,0,Gewonnen
22-09-1963,DWS,PSV,1,2,Verloren
22-09-1963,Go Ahead,SC Enschede,3,2,Gewonnen
22-09-1963,AVC Heracles,DOS,0,2,Verloren
22-09-1963,GVAV,RKSV Volendam,2,1,Gewonnen
22-09-1963,NAC,Sparta,2,1,Gewonnen
22-09-1963,Fortuna '54,MVV,1,1,Gelijk
06-10-1963,DOS,Go Ahead,2,4,Verloren
06-10-1963,Ajax,AVC Heracles,7,0,Gewonnen
06-10-1963,Sparta,ADO,0,2,Verloren
06-10-1963,SC Enschede,NAC,1,3,Verloren
06-10-1963,PSV,GVAV,4,1,Gewonnen
06-10-1963,MVV,DWS,0,1,Verloren
06-10-1963,RKSV Volendam,Feijenoord,0,8,Verloren
08-10-1963,Blauw-Wit,Fortuna '54,2,2,Gelijk
13-10-1963,Feijenoord,PSV,4,2,Gewonnen
13-10-1963,Ajax,DOS,6,1,Gewonnen
13-10-1963,ADO,SC Enschede,1,1,Gelijk
13-10-1963,DWS,Blauw-Wit,3,2,Gewonnen
13-10-1963,GVAV,MVV,1,0,Gewonnen
13-10-1963,Fortuna '54,Sparta,0,0,Gelijk
13-10-1963,NAC,Go Ahead,4,0,Gewonnen
13-10-1963,AVC Heracles,RKSV Volendam,3,1,Gewonnen
27-10-1963,Blauw-Wit,GVAV,1,1,Gelijk
27-10-1963,Sparta,DWS,4,2,Gewonnen
27-10-1963,DOS,NAC,2,0,Gewonnen
27-10-1963,Go Ahead,ADO,3,4,Verloren
27-10-1963,RKSV Volendam,Ajax,2,3,Verloren
27-10-1963,MVV,Feijenoord,1,0,Gewonnen
27-10-1963,PSV,AVC Heracles,3,2,Gewonnen
27-10-1963,SC Enschede,Fortuna '54,2,2,Gelijk
03-11-1963,Feijenoord,Blauw-Wit,3,0,Gewonnen
03-11-1963,RKSV Volendam,DOS,2,2,Gelijk
03-11-1963,Ajax,PSV,2,0,Gewonnen
03-11-1963,ADO,NAC,3,4,Verloren
03-11-1963,AVC Heracles,MVV,5,1,Gewonnen
03-11-1963,Fortuna '54,Go Ahead,1,1,Gelijk
03-11-1963,GVAV,Sparta,3,0,Gewonnen
06-11-1963,DWS,SC Enschede,0,1,Verloren
10-11-1963,Go Ahead,DWS,1,1,Gelijk
10-11-1963,Blauw-Wit,AVC Heracles,3,4,Verloren
10-11-1963,Sparta,Feijenoord,0,0,Gelijk
10-11-1963,DOS,ADO,4,0,Gewonnen
10-11-1963,SC Enschede,GVAV,4,2,Gewonnen
10-11-1963,NAC,Fortuna '54,4,2,Gewonnen
10-11-1963,PSV,RKSV Volendam,2,0,Gewonnen
10-11-1963,MVV,Ajax,2,2,Gelijk
24-11-1963,DWS,NAC,2,3,Verloren
24-11-1963,Ajax,Blauw-Wit,1,1,Gelijk
24-11-1963,Feijenoord,SC Enschede,3,1,Gewonnen
24-11-1963,GVAV,Go Ahead,2,1,Gewonnen
24-11-1963,AVC Heracles,Sparta,1,0,Gewonnen
24-11-1963,RKSV Volendam,MVV,1,1,Gelijk
24-11-1963,Fortuna '54,ADO,2,0,Gewonnen
24-11-1963,PSV,DOS,1,1,Gelijk
01-12-1963,ADO,DWS,2,3,Verloren
01-12-1963,Blauw-Wit,RKSV Volendam,3,0,Gewonnen
01-12-1963,Go Ahead,Feijenoord,0,2,Verloren
01-12-1963,DOS,Fortuna '54,2,1,Gewonnen
01-12-1963,Sparta,Ajax,2,5,Verloren
01-12-1963,MVV,PSV,1,1,Gelijk
01-12-1963,SC Enschede,AVC Heracles,3,1,Gewonnen
01-12-1963,NAC,GVAV,0,0,Gelijk
08-12-1963,GVAV,ADO,1,2,Verloren
08-12-1963,DWS,Fortuna '54,6,0,Gewonnen
08-12-1963,Feijenoord,NAC,10,0,Gewonnen
08-12-1963,Ajax,SC Enschede,1,1,Gelijk
08-12-1963,AVC Heracles,Go Ahead,1,1,Gelijk
08-12-1963,PSV,Blauw-Wit,5,3,Gewonnen
08-12-1963,MVV,DOS,2,1,Gewonnen
08-12-1963,RKSV Volendam,Sparta,5,2,Gewonnen
15-12-1963,DOS,DWS,0,2,Verloren
15-12-1963,Blauw-Wit,MVV,1,2,Verloren
15-12-1963,ADO,Feijenoord,1,0,Gewonnen
15-12-1963,Go Ahead,Ajax,1,0,Gewonnen
15-12-1963,Sparta,PSV,0,2,Verloren
15-12-1963,SC Enschede,RKSV Volendam,5,2,Gewonnen
15-12-1963,NAC,AVC Heracles,5,0,Gewonnen
15-12-1963,Fortuna '54,GVAV,1,1,Gelijk
