Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Sparta Rotterdam,34,20,11,3,71,83,30,53,1
Rapid JC,34,20,8,6,68,64,34,30,2
Fortuna '54,34,17,10,7,61,56,47,9,3
DOS,34,17,9,8,60,86,46,40,4
Feyenoord,34,17,7,10,58,84,54,30,5
Ajax,34,15,7,12,52,77,63,14,6
SC Enschede,34,15,7,12,52,67,59,8,7
VVV-Venlo,34,13,10,11,49,71,65,6,8
MVV Maastricht,34,12,13,9,49,64,59,5,9
PSV,34,12,9,13,45,61,60,1,10
NAC Breda,34,13,6,15,45,72,72,0,11
USV Elinkwijk,34,11,8,15,41,55,57,-2,12
ADO Den Haag,34,9,10,15,37,63,84,-21,13
Blauw-Wit,34,9,8,17,35,62,79,-17,14
Willem II,34,10,5,19,35,60,98,-38,15
AFC DWS,34,8,10,16,34,54,80,-26,16
NOAD,34,6,8,20,26,55,90,-35,17
Holland Sport,34,7,4,23,25,54,111,-57,18
