Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Sparta Rotterdam,34,20,11,3,51,83,30,53,1
Rapid JC,34,20,8,6,48,64,34,30,2
Fortuna '54,34,17,10,7,44,56,47,9,3
DOS,34,17,9,8,43,86,46,40,4
Feyenoord,34,17,7,10,41,84,54,30,5
Ajax,34,15,7,12,37,77,63,14,6
SC Enschede,34,15,7,12,37,67,59,8,7
MVV Maastricht,34,12,13,9,37,64,59,5,8
VVV-Venlo,34,13,10,11,36,71,65,6,9
PSV,34,12,9,13,33,61,60,1,10
NAC Breda,34,13,6,15,32,72,72,0,11
USV Elinkwijk,34,11,8,15,30,55,57,-2,12
ADO Den Haag,34,9,10,15,28,63,84,-21,13
Blauw-Wit,34,9,8,17,26,62,79,-17,14
AFC DWS,34,8,10,16,26,54,80,-26,15
Willem II,34,10,5,19,25,60,98,-38,16
NOAD,34,6,8,20,20,55,90,-35,17
Holland Sport,34,7,4,23,18,54,111,-57,18
