Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,23,9,2,55,82,26,56,1
Feyenoord,34,23,7,4,53,94,29,65,2
Ajax,34,21,7,6,49,76,34,42,3
FC Twente,34,17,8,9,42,56,35,21,4
AZ,34,14,12,8,40,50,32,18,5
Sparta Rotterdam,34,9,18,7,36,43,37,6,6
Telstar,34,11,14,9,36,42,45,-3,7
Roda JC Kerkrade,34,11,10,13,32,50,61,-11,8
FC Amsterdam,34,10,11,13,31,49,48,1,9
ADO Den Haag,34,7,16,11,30,33,42,-9,10
MVV Maastricht,34,7,14,13,28,43,55,-12,11
Go Ahead Eagles,34,9,10,15,28,40,55,-15,12
De Graafschap,34,10,8,16,28,32,56,-24,13
Excelsior Rotterdam,34,7,12,15,26,32,53,-21,14
FC Utrecht,34,8,10,16,26,40,62,-22,15
NAC Breda,34,8,9,17,25,38,62,-24,16
HFC Haarlem,34,7,10,17,24,36,69,-33,17
FC Wageningen,34,7,9,18,23,39,74,-35,18
