Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,30,3,1,63,104,20,84,1
Feyenoord,34,26,3,5,55,73,24,49,2
FC Twente,34,17,14,3,48,50,13,37,3
Sparta Rotterdam,34,18,10,6,46,73,38,35,4
ADO Den Haag,34,17,10,7,44,59,33,26,5
FC Utrecht,34,15,10,9,40,56,42,14,6
N.E.C.,34,15,8,11,38,43,43,0,7
PSV,34,13,10,11,36,47,32,15,8
Go Ahead Eagles,34,13,8,13,34,48,49,-1,9
MVV Maastricht,34,10,10,14,30,36,47,-11,10
Telstar,34,9,11,14,29,39,52,-13,11
FC Groningen,34,8,12,14,28,37,55,-18,12
NAC Breda,34,9,9,16,27,39,58,-19,13
AFC DWS,34,7,6,21,20,28,54,-26,14
Excelsior Rotterdam,34,4,12,18,20,18,53,-35,15
FC Den Bosch,34,6,8,20,20,24,70,-46,16
FC Volendam,34,5,7,22,17,16,55,-39,17
Vitesse,34,5,7,22,17,22,74,-52,18
