Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,5,3,83,97,24,73,1
PSV,34,24,5,5,77,97,25,72,2
Feyenoord,34,18,9,7,63,66,36,30,3
Roda JC Kerkrade,34,15,12,7,57,51,35,16,4
Vitesse,34,15,8,11,53,48,44,4,5
Sparta Rotterdam,34,14,11,9,53,53,53,0,6
sc Heerenveen,34,14,11,9,53,66,68,-2,7
NAC Breda,34,14,10,10,52,58,44,14,8
FC Groningen,34,12,13,9,49,48,45,3,9
FC Twente,34,14,6,14,48,46,55,-9,10
RKC Waalwijk,34,11,11,12,44,44,44,0,11
Willem II,34,9,12,13,39,53,59,-6,12
Fortuna Sittard,34,6,13,15,31,27,54,-27,13
De Graafschap,34,6,11,17,29,37,66,-29,14
FC Utrecht,34,6,10,18,28,27,59,-32,15
FC Volendam,34,6,9,19,27,29,65,-36,16
N.E.C.,34,6,7,21,25,33,73,-40,17
Go Ahead Eagles,34,5,7,22,22,40,71,-31,18
