Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,27,6,1,87,89,18,71,1
Ajax,34,24,5,5,77,74,33,41,2
AZ,34,19,7,8,64,71,41,30,3
Feyenoord,34,19,5,10,62,90,51,39,4
sc Heerenveen,34,18,6,10,60,64,52,12,5
FC Twente,34,15,9,10,54,48,38,10,6
Vitesse,34,16,6,12,54,53,49,4,7
Roda JC Kerkrade,34,13,8,13,47,60,55,5,8
RKC Waalwijk,34,13,8,13,47,44,51,-7,9
Willem II,34,13,6,15,45,44,56,-12,10
FC Utrecht,34,12,8,14,44,40,43,-3,11
FC Groningen,34,11,7,16,40,50,58,-8,12
N.E.C.,34,9,10,15,37,41,47,-6,13
ADO Den Haag,34,10,6,18,36,44,59,-15,14
NAC Breda,34,9,8,17,35,43,67,-24,15
RBC Roosendaal,34,10,2,22,32,38,77,-39,16
De Graafschap,34,4,7,23,19,32,78,-46,17
FC Den Bosch,34,5,4,25,19,23,75,-52,18
