Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,26,4,4,82,86,25,61,1
Ajax,34,25,6,3,81,79,23,56,2
PSV,34,22,10,2,76,68,23,45,3
FC Utrecht,34,18,8,8,62,54,38,16,4
Vitesse,34,15,6,13,51,51,40,11,5
AZ,34,12,13,9,49,56,52,4,6
FC Twente,34,12,9,13,45,48,50,-2,7
FC Groningen,34,10,13,11,43,55,51,4,8
sc Heerenveen,34,12,7,15,43,54,53,1,9
Heracles Almelo,34,12,7,15,43,53,55,-2,10
ADO Den Haag,34,11,5,18,38,37,59,-22,11
Excelsior Rotterdam,34,9,10,15,37,43,60,-17,12
Willem II,34,9,9,16,36,29,44,-15,13
PEC Zwolle,34,9,8,17,35,39,67,-28,14
Sparta Rotterdam,34,9,7,18,34,42,61,-19,15
N.E.C.,34,9,7,18,34,32,59,-27,16
Roda JC Kerkrade,34,7,12,15,33,26,51,-25,17
Go Ahead Eagles,34,6,5,23,23,32,73,-41,18
