Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,22,7,5,73,72,30,42,1
FC Twente,34,21,8,5,71,65,34,31,2
PSV,34,20,9,5,69,79,34,45,3
AZ,34,17,8,9,59,55,44,11,4
FC Groningen,34,17,6,11,57,65,52,13,5
Roda JC Kerkrade,34,14,13,7,55,65,50,15,6
ADO Den Haag,34,16,6,12,54,63,55,8,7
Heracles Almelo,34,14,7,13,49,65,56,9,8
FC Utrecht,34,13,8,13,47,55,51,4,9
Feyenoord,34,12,8,14,44,53,54,-1,10
N.E.C.,34,10,13,11,43,57,56,1,11
sc Heerenveen,34,10,11,13,41,60,54,6,12
NAC Breda,34,12,5,17,41,44,60,-16,13
De Graafschap,34,9,11,14,38,31,56,-25,14
Vitesse,34,9,8,17,35,42,61,-19,15
Excelsior Rotterdam,34,10,5,19,35,45,66,-21,16
VVV-Venlo,34,6,3,25,21,34,76,-42,17
Willem II,34,3,6,25,15,37,98,-61,18
