Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,25,6,3,81,96,28,68,1
FC Twente,34,23,8,3,77,65,27,38,2
Ajax,34,21,9,4,72,88,30,58,3
PSV,34,20,9,5,69,96,40,56,4
FC Amsterdam,34,17,9,8,60,49,36,13,5
Telstar,34,12,12,10,48,53,50,3,6
FC Utrecht,34,14,4,16,46,53,65,-12,7
AZ,34,10,13,11,43,37,39,-2,8
Go Ahead Eagles,34,11,10,13,43,44,58,-14,9
Sparta Rotterdam,34,10,12,12,42,37,45,-8,10
MVV Maastricht,34,8,14,12,38,36,52,-16,11
HFC Haarlem,34,10,6,18,36,33,46,-13,12
ADO Den Haag,34,8,10,16,34,29,53,-24,13
De Graafschap,34,8,10,16,34,43,75,-32,14
Roda JC Kerkrade,34,6,10,18,28,31,56,-25,15
NAC Breda,34,6,10,18,28,44,72,-28,16
FC Groningen,34,7,7,20,28,40,84,-44,17
N.E.C.,34,6,9,19,27,33,51,-18,18
