Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,19,11,4,49,67,23,44,1
PSV,34,20,8,6,48,94,36,58,2
FC Twente,34,16,10,8,42,48,43,5,3
Vitesse,34,15,11,8,41,49,31,18,4
Roda JC Kerkrade,34,14,13,7,41,53,39,14,5
FC Volendam,34,15,9,10,39,43,38,5,6
Fortuna Sittard,34,12,14,8,38,42,35,7,7
RKC Waalwijk,34,13,11,10,37,45,47,-2,8
FC Groningen,34,10,15,9,35,50,46,4,9
ADO Den Haag,34,13,7,14,33,58,63,-5,10
Feyenoord,34,9,13,12,31,51,45,6,11
Sparta Rotterdam,34,12,7,15,31,51,61,-10,12
Willem II,34,7,13,14,27,42,49,-7,13
FC Utrecht,34,8,11,15,27,27,45,-18,14
MVV Maastricht,34,7,13,14,27,38,61,-23,15
N.E.C.,34,5,16,13,26,32,55,-23,16
FC Den Bosch,34,6,13,15,25,30,51,-21,17
HFC Haarlem,34,4,7,23,15,22,74,-52,18
