Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
12-08-1989,MVV Maastricht,Willem II,2,1,Gewonnen
12-08-1989,FC Twente,Roda JC Kerkrade,1,1,Gelijk
13-08-1989,FC Utrecht,Feyenoord,3,0,Gewonnen
13-08-1989,FC Volendam,HFC Haarlem,1,0,Gewonnen
13-08-1989,ADO Den Haag,Ajax,0,4,Verloren
13-08-1989,Vitesse,Fortuna Sittard,1,1,Gelijk
13-08-1989,Sparta Rotterdam,N.E.C.,1,2,Verloren
13-08-1989,RKC Waalwijk,FC Groningen,3,1,Gewonnen
16-08-1989,FC Den Bosch,MVV Maastricht,0,3,Verloren
16-08-1989,Roda JC Kerkrade,Sparta Rotterdam,1,1,Gelijk
16-08-1989,Willem II,FC Twente,0,0,Gelijk
16-08-1989,HFC Haarlem,RKC Waalwijk,0,2,Verloren
16-08-1989,Feyenoord,FC Volendam,1,1,Gelijk
16-08-1989,Ajax,Vitesse,5,2,Gewonnen
19-08-1989,HFC Haarlem,FC Utrecht,1,2,Verloren
20-08-1989,Roda JC Kerkrade,MVV Maastricht,3,2,Gewonnen
20-08-1989,ADO Den Haag,Vitesse,2,1,Gewonnen
20-08-1989,N.E.C.,FC Twente,2,2,Gelijk
20-08-1989,FC Groningen,FC Volendam,3,0,Gewonnen
20-08-1989,Ajax,Sparta Rotterdam,1,2,Verloren
20-08-1989,Feyenoord,Fortuna Sittard,0,2,Verloren
20-08-1989,Willem II,PSV,3,4,Verloren
20-08-1989,FC Den Bosch,RKC Waalwijk,1,2,Verloren
23-08-1989,FC Utrecht,FC Groningen,1,0,Gewonnen
23-08-1989,MVV Maastricht,N.E.C.,2,0,Gewonnen
23-08-1989,Fortuna Sittard,HFC Haarlem,1,0,Gewonnen
23-08-1989,PSV,Roda JC Kerkrade,3,4,Verloren
23-08-1989,RKC Waalwijk,Willem II,2,2,Gelijk
23-08-1989,FC Volendam,FC Den Bosch,3,0,Gewonnen
26-08-1989,Willem II,FC Volendam,5,1,Gewonnen
27-08-1989,Sparta Rotterdam,Vitesse,1,1,Gelijk
27-08-1989,Roda JC Kerkrade,RKC Waalwijk,3,0,Gewonnen
27-08-1989,HFC Haarlem,Feyenoord,3,1,Gewonnen
27-08-1989,FC Groningen,Fortuna Sittard,0,0,Gelijk
27-08-1989,ADO Den Haag,FC Twente,3,1,Gewonnen
27-08-1989,N.E.C.,PSV,1,4,Verloren
27-08-1989,FC Den Bosch,FC Utrecht,2,0,Gewonnen
27-08-1989,Ajax,MVV Maastricht,5,0,Gewonnen
03-09-1989,FC Twente,Ajax,2,1,Gewonnen
03-09-1989,Vitesse,Feyenoord,2,1,Gewonnen
03-09-1989,PSV,FC Den Bosch,1,1,Gelijk
08-09-1989,MVV Maastricht,ADO Den Haag,3,0,Gewonnen
09-09-1989,FC Twente,Sparta Rotterdam,2,0,Gewonnen
09-09-1989,Fortuna Sittard,FC Den Bosch,2,0,Gewonnen
10-09-1989,FC Volendam,Roda JC Kerkrade,2,0,Gewonnen
10-09-1989,Feyenoord,FC Groningen,3,3,Gelijk
10-09-1989,RKC Waalwijk,N.E.C.,3,1,Gewonnen
10-09-1989,PSV,Ajax,2,0,Gewonnen
10-09-1989,FC Utrecht,Willem II,2,1,Gewonnen
10-09-1989,Vitesse,HFC Haarlem,4,0,Gewonnen
15-09-1989,Roda JC Kerkrade,FC Utrecht,1,0,Gewonnen
16-09-1989,Willem II,Fortuna Sittard,2,0,Gewonnen
16-09-1989,N.E.C.,FC Volendam,2,2,Gelijk
17-09-1989,Sparta Rotterdam,MVV Maastricht,2,2,Gelijk
17-09-1989,ADO Den Haag,PSV,1,5,Verloren
17-09-1989,FC Twente,Vitesse,1,1,Gelijk
17-09-1989,FC Groningen,HFC Haarlem,3,3,Gelijk
17-09-1989,Ajax,RKC Waalwijk,0,0,Gelijk
19-09-1989,N.E.C.,ADO Den Haag,3,3,Gelijk
19-09-1989,FC Den Bosch,Feyenoord,1,1,Gelijk
23-09-1989,HFC Haarlem,FC Den Bosch,2,0,Gewonnen
23-09-1989,MVV Maastricht,FC Twente,0,0,Gelijk
23-09-1989,Fortuna Sittard,Roda JC Kerkrade,1,1,Gelijk
23-09-1989,PSV,Sparta Rotterdam,9,1,Gewonnen
24-09-1989,RKC Waalwijk,ADO Den Haag,3,2,Gewonnen
24-09-1989,Vitesse,FC Groningen,0,1,Verloren
24-09-1989,Feyenoord,Willem II,4,1,Gewonnen
24-09-1989,FC Volendam,Ajax,2,2,Gelijk
24-09-1989,FC Utrecht,N.E.C.,3,0,Gewonnen
30-09-1989,MVV Maastricht,Vitesse,1,5,Verloren
30-09-1989,FC Den Bosch,FC Groningen,0,0,Gelijk
01-10-1989,Ajax,FC Utrecht,3,0,Gewonnen
01-10-1989,Sparta Rotterdam,RKC Waalwijk,2,1,Gewonnen
01-10-1989,FC Twente,PSV,0,0,Gelijk
01-10-1989,ADO Den Haag,FC Volendam,2,1,Gewonnen
01-10-1989,N.E.C.,Fortuna Sittard,1,0,Gewonnen
03-10-1989,Roda JC Kerkrade,Feyenoord,2,0,Gewonnen
07-10-1989,Willem II,HFC Haarlem,3,2,Gewonnen
08-10-1989,Fortuna Sittard,FC Utrecht,1,0,Gewonnen
14-10-1989,FC Groningen,Willem II,1,1,Gelijk
14-10-1989,PSV,MVV Maastricht,8,1,Gewonnen
14-10-1989,HFC Haarlem,Roda JC Kerkrade,0,0,Gelijk
15-10-1989,FC Volendam,Sparta Rotterdam,2,0,Gewonnen
15-10-1989,Feyenoord,N.E.C.,2,1,Gewonnen
15-10-1989,FC Utrecht,ADO Den Haag,2,1,Gewonnen
15-10-1989,Fortuna Sittard,Ajax,0,0,Gelijk
15-10-1989,Vitesse,FC Den Bosch,0,0,Gelijk
15-10-1989,RKC Waalwijk,FC Twente,0,0,Gelijk
21-10-1989,MVV Maastricht,RKC Waalwijk,3,0,Gewonnen
21-10-1989,Willem II,FC Den Bosch,1,0,Gewonnen
21-10-1989,N.E.C.,HFC Haarlem,3,1,Gewonnen
21-10-1989,PSV,Vitesse,0,1,Verloren
22-10-1989,ADO Den Haag,Fortuna Sittard,4,1,Gewonnen
22-10-1989,Ajax,Feyenoord,1,1,Gelijk
22-10-1989,FC Twente,FC Volendam,1,0,Gewonnen
22-10-1989,Roda JC Kerkrade,FC Groningen,1,1,Gelijk
22-10-1989,Sparta Rotterdam,FC Utrecht,0,1,Verloren
28-10-1989,FC Den Bosch,Roda JC Kerkrade,1,1,Gelijk
28-10-1989,FC Groningen,N.E.C.,1,1,Gelijk
28-10-1989,Fortuna Sittard,Sparta Rotterdam,2,1,Gewonnen
29-10-1989,FC Volendam,MVV Maastricht,4,1,Gewonnen
29-10-1989,FC Utrecht,FC Twente,1,2,Verloren
29-10-1989,Vitesse,Willem II,2,0,Gewonnen
29-10-1989,RKC Waalwijk,PSV,0,3,Verloren
29-10-1989,HFC Haarlem,Ajax,0,4,Verloren
01-11-1989,Feyenoord,ADO Den Haag,0,2,Verloren
04-11-1989,N.E.C.,FC Den Bosch,2,2,Gelijk
04-11-1989,PSV,FC Volendam,2,2,Gelijk
05-11-1989,ADO Den Haag,HFC Haarlem,6,1,Gewonnen
05-11-1989,Sparta Rotterdam,Feyenoord,2,2,Gelijk
05-11-1989,FC Twente,Fortuna Sittard,1,1,Gelijk
05-11-1989,Roda JC Kerkrade,Willem II,4,1,Gewonnen
05-11-1989,Ajax,FC Groningen,3,2,Gewonnen
05-11-1989,RKC Waalwijk,Vitesse,0,1,Verloren
08-11-1989,MVV Maastricht,FC Utrecht,0,0,Gelijk
12-11-1989,Sparta Rotterdam,ADO Den Haag,3,1,Gewonnen
18-11-1989,HFC Haarlem,Sparta Rotterdam,0,4,Verloren
18-11-1989,Willem II,N.E.C.,0,1,Verloren
19-11-1989,Fortuna Sittard,MVV Maastricht,1,1,Gelijk
19-11-1989,FC Den Bosch,Ajax,0,1,Verloren
19-11-1989,FC Groningen,ADO Den Haag,2,1,Gewonnen
19-11-1989,Feyenoord,FC Twente,2,3,Verloren
19-11-1989,Vitesse,Roda JC Kerkrade,2,0,Gewonnen
19-11-1989,FC Volendam,RKC Waalwijk,1,0,Gewonnen
19-11-1989,FC Utrecht,PSV,1,7,Verloren
24-11-1989,MVV Maastricht,Feyenoord,1,1,Gelijk
25-11-1989,PSV,Fortuna Sittard,2,0,Gewonnen
25-11-1989,N.E.C.,Roda JC Kerkrade,0,1,Verloren
26-11-1989,FC Volendam,Vitesse,1,0,Gewonnen
26-11-1989,RKC Waalwijk,FC Utrecht,3,3,Gelijk
26-11-1989,Ajax,Willem II,1,0,Gewonnen
26-11-1989,Sparta Rotterdam,FC Groningen,3,0,Gewonnen
26-11-1989,FC Twente,HFC Haarlem,2,2,Gelijk
26-11-1989,ADO Den Haag,FC Den Bosch,3,1,Gewonnen
01-12-1989,Roda JC Kerkrade,Ajax,1,1,Gelijk
02-12-1989,HFC Haarlem,MVV Maastricht,1,1,Gelijk
02-12-1989,FC Den Bosch,Sparta Rotterdam,3,0,Gewonnen
02-12-1989,Fortuna Sittard,RKC Waalwijk,1,1,Gelijk
03-12-1989,FC Utrecht,FC Volendam,0,3,Verloren
03-12-1989,Willem II,ADO Den Haag,1,1,Gelijk
03-12-1989,N.E.C.,Vitesse,0,4,Verloren
