Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,22,5,7,71,64,40,24
Fortuna '54,34,20,5,9,65,76,48,28
PSV,34,18,3,13,57,93,71,22
SC Enschede,34,15,11,8,56,81,47,34
MVV Maastricht,34,15,10,9,55,53,42,11
Feyenoord,34,15,9,10,54,79,58,21
VVV-Venlo,34,16,6,12,54,50,53,-3
DOS,34,17,1,16,52,79,75,4
NAC Breda,34,14,8,12,50,59,61,-2
Sparta Rotterdam,34,12,12,10,48,66,59,7
Rapid JC,34,13,7,14,46,64,63,1
NOAD,34,12,7,15,43,54,64,-10
BVC Amsterdam,34,11,8,15,41,49,67,-18
BVV,34,11,4,19,37,70,76,-6
GVAV,34,9,10,15,37,52,66,-14
USV Elinkwijk,34,10,4,20,34,52,87,-35
Willem II,34,8,6,20,30,59,79,-20
FC Eindhoven,34,8,4,22,28,39,83,-44
