Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,22,5,7,49,64,40,24
Fortuna '54,34,20,5,9,45,76,48,28
SC Enschede,34,15,11,8,41,81,47,34
MVV Maastricht,34,15,10,9,40,53,42,11
PSV,34,18,3,13,39,93,71,22
Feyenoord,34,15,9,10,39,79,58,21
VVV-Venlo,34,16,6,12,38,50,53,-3
Sparta Rotterdam,34,12,12,10,36,66,59,7
NAC Breda,34,14,8,12,36,59,61,-2
DOS,34,17,1,16,35,79,75,4
Rapid JC,34,13,7,14,33,64,63,1
NOAD,34,12,7,15,31,54,64,-10
BVC Amsterdam,34,11,8,15,30,49,67,-18
GVAV,34,9,10,15,28,52,66,-14
BVV,34,11,4,19,26,70,76,-6
USV Elinkwijk,34,10,4,20,24,52,87,-35
Willem II,34,8,6,20,22,59,79,-20
FC Eindhoven,34,8,4,22,20,39,83,-44
